[0.00] 今天我们来讲讲大名鼎鼎的Codex
[3335.84] 点击之后
[3336.80] 就可以发现
[3337.44] 我们创建的定时任务了
[3338.74] 它会每天9点开始运行
[3341.02] 每次运行的时候
[3342.14] 都会创建一个新的会话
[3343.32] 我们可以点击这个按钮
[3344.76] 试运行定时任务
[3348.06] 可以看到一个会话创建出来了
[3350.10] 就是用来运行定时任务的
[3352.12] 我们来打开看一下
[3356.76] 好
[3357.12] 可以看到定时任务已经完成了
[3359.20] 后面每天跑的也都是这个样子了
[3362.42] 这个就是定时任务了
[3363.86] 最后我想给大家讲讲
[3365.30] Codex的一个特别实用的功能
[3366.98] 那就是Codex mobile
[3369.10] 具体来说
[3369.92] 就是我们可以在手机上操纵
[3372.30] Codex来给我们完成任务
[3373.96] 让我们来点击这里面的Codex mobile
[3377.92] 再点击get started
[3381.06] 然后点击allow
[3382.14] 允许手机操纵这台电脑
[3385.52] 然后再点击done
[3387.48] 点击完done了之后
[3388.82] Codex应该会给你显示出
[3390.92] 一个二维码来
[3392.92] 如果你像我这样没有显示出二维码的话
[3395.10] 可以点击这里的手机图标
[3397.40] 这样二维码就出来了
[3399.10] 随后我们需要打开手机摄像头
[3401.14] 扫描这个二维码
[3402.76] 然后我们就会被引导到
[3404.36] ChatGPT的Codex页面
[3406.04] 在这里我们就能向电脑端的Codex
[3408.44] 发送指令了
[3409.64] 比如我们想让它操作一下日历
[3411.92] 你还记不记得我们之前在日历上
[3414.12] 创建了一个日程
[3415.02] 标题就叫做
[3416.00] 讨论马克笔记的后续设计
[3418.32] 现在我们在手机上再发送一个指令
[3420.60] 让它把这个日程去掉
[3422.00] 我们点击聊天
[3426.76] 然后我们再点击这里
[3429.26] 在里面找出computer use这个选项
[3434.40] 随后我们需要输入我们的请求
[3438.64] 我们的请求就是把日历中5月28号
[3442.96] 讨论马克笔记的日程删掉
[3445.70] 写完之后先不要忙着提交
[3447.44] 你看我们现在在马克笔记
[3449.94] 这个项目目录下
[3450.80] 但我们的请求其实跟这个项目的
[3453.20] 代码没什么关系
[3454.12] 我们就想操作一下日历软件
[3455.84] 所以我们需要再点一下设置按钮
[3458.68] 然后选择不使用项目
[3461.82] 好这样就万事俱备了
[3463.60] 我们提交请求
[3471.28] Codex首先询问我们是否同意使用
[3473.84] calendar这个软件
[3474.80] 我们批准
[3478.34] 然后Codex再次询问我们是否要
[3480.24] 真的删除掉这个日程
[3481.58] 我们确认
[3486.60] 随后Codex就开始操作电脑了
[3488.74] 我来给大家看看电脑上是个什么样子
[3491.20] 你看日历上面多了一个鼠标
[3493.48] 它正在操纵电脑删除这个日程
[3497.74] 好删除成功了
[3499.22] 这样我们就做到了用手机来操纵电脑了
[3503.52] 是不是很方便呢
[3504.76] 这样大家在外面也可以使用Codex
[3507.10] 来做各种各样的事情了
[3508.54] 好到这里本期视频就结束了
[3511.70] 我是马克用最通俗的语言讲最硬核的
[3514.80] 技术
[3515.06] 我们下期再见
[3516.40] 拜拜
